"16079","(34.99304, 0.84314)"
"11542","(40.12098, -1.67425)"
"11543","(39.2944, -4.40447)"
"11540","(39.62075, -4.02258)"
"11541","(39.66051, -4.04839)"
"11547","(39.60597, -3.86938)"
"11544","(39.2762, -4.57561)"
"11545","(39.2454, -3.98457)"
"11548","(40.00067, -1.3372)"
"11549","(38.08182, -3.24483)"
"19927","(34.779426, -0.088292956)"
"19399","(36.90368, -1.18535)"
"19398","(36.89423, -1.2039)"
"19397","(36.89414, -1.20694)"
"19396","(36.8918, -1.25113)"
"19395","(36.81762, -1.28362)"
"19394","(36.82379, -1.28086)"
"19393","(36.82878, -1.28575)"
"19392","(36.82069, -1.283)"
"19391","(34.82625, 0.02575)"
"19390","(34.92982, 0.05156)"
"16071","(34.7164, 0.711604)"
"18516","(37.8457, -1.65146)"
"16070","(34.46232, 0.45129)"
"10613","(36.63281, -0.90341)"
"19717","(37.62985, -0.17917)"
"21092","(35.30865, -0.29832)"
"16076","(34.7451, 0.819819)"
"19715","(34.7013, 0.09256)"
"15959","(34.94322, 0.42106)"
"16253","(37.65402, -1.95395)"
"16252","(37.32011, -1.45831)"
"16251","(37.17408, -1.53509)"
"19970","(37.13206, -1.53485)"
"16709","(34.75923, 0.64248)"
"16708","(34.76817, 0.61103)"
"16255","(34.9957, -0.779752)"
"19974","(36.82274, -1.290015)"
"16705","(35.0899, 1.20816)"
"16704","(35.2206, 1.39087)"
"19979","(36.81183, -1.28989)"
"16706","(34.65859, 0.71391)"
"16701","(35.08512, 1.20164)"
"16700","(35.9253, 1.90476)"
"16702","(35.0221, 1.25053)"
"12019","(38.20231, 3.19378)"
"12018","(38.16721, -2.69433)"
"12015","(37.65187, 0.0452)"
"12017","(36.9838, -1.46156)"
"12011","(38.24594, -0.85101)"
"12013","(38.17985, -2.06618)"
"12012","(37.6026, 0.43324)"
"17258","(37.9937, 0.12814)"
"17259","(36.6178, -1.05101)"
"15950","(34.71261, 0.78917)"
"17250","(36.58332, -1.12018)"
"17251","(35.13736, 0.12345)"
"17252","(35.06113, 0.59946)"
"17253","(36.88353, -0.71196)"
"17254","(35.57696, 0.95108)"
"17255","(35.14124, 0.86429)"
"17256","(37.28143, -1.79044)"
"10709","(37.1341, -0.576781)"
"10708","(36.94906, -0.42029)"
"10703","(36.80469, -0.86554)"
"10702","(37.12464, -0.48265)"
"10701","(37.2125, -0.620559)"
"10700","(36.90514, -0.33011)"
"10707","(36.94385, -0.54888)"
"10706","(36.90736, -0.70764)"
"10705","(36.92283, -0.49459)"
"10704","(37.094, -0.00133164)"
"15485","(35.56927, 0.63014)"
"15484","(36.43924, -0.71977)"
"16646","(37.64035, -0.24713)"
"14624","(35.2638, 0.7384)"
"14625","(35.07139, -0.53265)"
"14626","(35.13925, -0.99162)"
"14627","(35.15865, -0.39421)"
"14620","(35.1559, -0.410755)"
"14621","(35.11065, 0.43097)"
"14622","(35.14623, -0.47643)"
"14623","(35.08472, 0.40515)"
"14628","(35.2314, -0.98822)"
"14629","(35.22457, 0.10455)"
"14682","(35.4666, 2.49057)"
"13058","(36.78485, -1.30868)"
"13059","(36.847, -1.27085)"
"13052","(36.74591, -1.24003)"
"13053","(36.086219, -1.31039)"
"13050","(36.79262, -1.29435)"
"13051","(36.87781, -1.27967)"
"13056","(36.87281, -1.29665)"
"13057","(36.861, -1.29105)"
"13055","(36.85066, -1.27605)"
"18703","(37.65953, 0.04637)"
"18702","(37.66083, 0.04645)"
"18701","(37.65292, 0.04764)"
"18700","(37.65258, 0.04762)"
"18707","(37.65449, 0.04551)"
"18706","(37.65473, 0.0455)"
"18705","(37.65504, 0.4543)"
"18704","(37.65967, 0.04544)"
"18709","(37.65748, 0.15416)"
"18708","(37.65341, 0.04774)"
"17829","(35.3623, 0.48189)"
"17828","(39.41661, -4.36547)"
"17827","(39.41546, -4.366)"
"17826","(39.58078, -4.23358)"
"17825","(34.75209, 0.26392)"
"17822","(39.63027, -4.0111)"
"17821","(36.44527, -0.7836)"
"17820","(39.56573, 1.4699)"
"20258","(38.15654, -1.07955)"
"20259","(36.07517, -0.28312)"
"20252","(36.61321, -1.27946)"
"20253","(36.67203, -1.27425)"
"20250","(36.68569, -1.28628)"
"20251","(36.10919, 0.26271)"
"20256","(38.52808, -1.02259)"
"20257","(38.30145, -1.05619)"
"20254","(36.66211, -1.24577)"
"20255","(34.72208, 0.07981)"
"19851","(36.95046, -0.42196)"
"19330","(36.82391, -1.28494)"
"16310","(41.8354, 3.94502)"
"19333","(36.89472, -1.20683)"
"12833","(37.5343, -0.62151)"
"12832","(38.1984, -0.15792)"
"12831","(37.60521, -0.04503)"
"12830","(37.56426, -0.03735)"
"15289","(36.08036, -0.28205)"
"15288","(36.06978, -0.27805)"
"12835","(37.66818, -0.18612)"
"12834","(37.5299, -0.437758)"
"15285","(36.09491, 2.52243)"
"15284","(35.94346, 2.66819)"
"15287","(36.04761, -0.17439)"
"15286","(36.07419, -0.23264)"
"15281","(36.44763, -0.69999)"
"15280","(36.43823, -0.71909)"
"15283","(36.46369, -1.21692)"
"15282","(36.44504, -0.76587)"
"16374","(35.02646, 2.01374)"
"19335","(36.43354, -0.71459)"
"10884","(37.00016, -0.56563)"
"10885","(37.3477, -0.61046)"
"10886","(36.9855, -1.07444)"
"10887","(36.55346, -0.55535)"
"10880","(37.34555, -0.61565)"
"10881","(37.0763, -0.849228)"
"10882","(37.07582, -0.56506)"
"10883","(36.86722, -0.40347)"
"10888","(37.06607, -0.67109)"
"10889","(36.36211, -0.04164)"
"15555","(35.61285, 0.21101)"
"16884","(39.26382, -3.79608)"
"15557","(34.3986, 4.24126)"
"16376","(36.40385, -0.80517)"
"15556","(35.39269, 0.00228)"
"19337","(36.79734, -2.55055)"
"15551","(35.00004, 1.33196)"
"15550","(35.19611, -0.43234)"
"15001","(35.29147, -0.15103)"
"15000","(36.79112, -1.97727)"
"14605","(35.54616, 0.33887)"
"13618","(34.3982, 0.14441)"
"13619","(34.41549, -1.15724)"
"17545","(36.32117, -0.81937)"
"13614","(34.91642, -0.63707)"
"13615","(34.55776, -1.19948)"
"13616","(34.83924, -0.63417)"
"13617","(9.0, -0.53604)"
"13610","(34.62055, -1.1923)"
"13611","(34.94024, -0.89806)"
"13612","(34.85261, -0.77956)"
"13613","(34.80396, -0.80387)"
"11289","(39.68619, -4.02796)"
"11288","(39.8989, -3.47405)"
"16066","(34.246, 0.479821)"
"16067","(34.09106, 0.30717)"
"19700","(36.88979, -1.29246)"
"16061","(34.8908, 0.7563)"
"16062","(34.74907, 0.28164)"
"16063","(34.5641, 0.692948)"
"11281","(39.66602, -0.78168)"
"11280","(39.61286, -4.02775)"
"11283","(40.02169, -1.43728)"
"11282","(39.70028, -3.73513)"
"19708","(37.09781, -0.50593)"
"19709","(37.12576, -0.47988)"
"11287","(39.68632, -3.74677)"
"11286","(40.08803, -2.86519)"
"17621","(39.68363, -4.0314)"
"17620","(39.6766, -4.0609)"
"17623","(39.68734, -4.02369)"
"17622","(39.66539, -4.06852)"
"17624","(39.67241, -4.06274)"
"17627","(39.66864, -4.036)"
"17626","(34.91616, 0.13895)"
"17629","(35.08712, 0.21476)"
"17628","(39.66462, -4.05469)"
"13531","(34.76348, -0.66604)"
"13530","(34.72371, -0.39885)"
"13533","(34.40699, 0.00154)"
"13532","(34.5331, -0.81437)"
"13535","(34.5611, 0.04515)"
"13534","(34.80129, -0.05596)"
"13537","(34.87589, -0.84897)"
"13536","(34.69099, -0.90612)"
"13539","(34.71776, -0.77352)"
"13538","(34.70785, -0.74327)"
"14539","(35.96116, -0.20293)"
"11757","(38.55819, -3.39303)"
"11756","(39.63157, -3.88517)"
"11755","(39.79516, -3.82222)"
"11753","(40.02373, -2.89249)"
"11752","(40.0897, -3.26192)"
"11751","(40.11512, -3.18099)"
"16372","(35.3028, 1.98984)"
"20794","(37.47625, -2.0424)"
"11759","(40.12222, -3.21658)"
"11758","(39.92867, -3.4436)"
"19560","(36.82838, -1.2887)"
"19561","(36.75583, -1.26859)"
"19562","(36.75793, -1.26735)"
"19563","(36.81147, -1.26444)"
